Proportion: 80%
Accuracy for K=7: 0.6883
Correct predictions for K=7: 106
Incorrect predictions for K=7: 48

Accuracy for K=9: 0.7208
Correct predictions for K=9: 111
Incorrect predictions for K=9: 43

 y_test  y_pred_7  y_pred_9
      0         0         0
      0         0         0
      0         0         0
      0         0         0
      0         1         0
      0         1         1
      0         0         0
      0         1         1
      0         1         1
      0         1         1
      1         0         1
      0         1         1
      1         0         0
      0         0         0
      0         0         0
      1         1         1
      0         0         0
      0         0         0
      1         1         1
      1         0         0
      0         1         1
      0         0         0
      0         1         1
      0         0         0
      0         1         1
      1         1         1
      0         0         0
      0         0         0
      1         0         0
      0         0         0
      1         1         1
      1         1         1
      1         1         1
      1         1         1
      0         0         0
      1         0         1
      1         1         1
      1         0         0
      0         0         0
      1         1         1
      0         0         0
      0         1         1
      0         1         1
      1         1         1
      0         0         0
      1         0         1
      1         0         0
      0         0         0
      0         0         1
      0         1         1
      0         0         0
      1         1         1
      1         1         1
      1         0         0
      0         0         0
      0         0         0
      0         1         1
      0         0         0
      0         0         0
      1         1         1
      1         1         1
      0         0         0
      0         0         1
      1         0         0
      0         0         0
      0         1         1
      0         0         0
      1         1         1
      0         0         0
      1         1         1
      0         1         1
      0         0         0
      0         0         0
      1         0         0
      0         0         0
      0         1         1
      0         1         0
      0         0         0
      0         0         0
      0         0         0
      1         1         1
      1         0         0
      0         0         0
      0         0         0
      0         0         0
      1         1         1
      1         1         1
      1         0         0
      0         0         0
      0         0         0
      0         0         0
      0         0         0
      0         0         0
      1         1         1
      0         1         1
      0         0         0
      0         1         1
      0         0         0
      1         1         1
      0         0         0
      0         0         1
      0         0         0
      1         0         0
      0         1         0
      1         1         1
      0         0         0
      0         1         0
      1         1         1
      1         0         0
      1         1         1
      0         0         0
      0         1         1
      0         0         0
      1         1         1
      0         1         1
      0         0         0
      1         1         1
      0         0         0
      0         0         0
      0         0         0
      0         0         0
      0         0         0
      1         0         0
      0         0         0
      0         0         0
      0         1         1
      1         0         0
      1         1         1
      1         1         1
      0         1         1
      1         1         1
      1         0         0
      0         0         0
      1         1         1
      1         1         1
      0         0         0
      1         0         0
      1         1         1
      1         1         1
      0         0         0
      0         0         0
      0         0         0
      0         0         0
      0         1         1
      0         0         0
      0         0         0
      1         0         0
      0         0         0
      0         1         0
      1         1         1
      0         0         0
      0         0         0
      1         0         0
      0         0         0
